2024-12-18T02:04:03+0100 INFO: totd_pattern_group written to pattern_dings.txt
2024-12-18T02:04:03+0100 INFO: discovery_pattern_group written to discovery_pattern_group.txt
2024-12-18T02:04:03+0100 INFO: competition_pattern_group written to competition_pattern_group.txt
2024-12-18T02:04:08+0100 WARNING: Unmatched map name: Green City V2 (cpless) (sanitized: Green City V2 (cpless)), totd: False, discovery: {}
2024-12-18T02:04:08+0100 WARNING: Unmatched map name: Icy  ReactorTraining - 19 (sanitized: Icy ReactorTraining - 19), totd: False, discovery: {}
2024-12-18T02:04:08+0100 WARNING: Unmatched map name: S06 but you need to get onto the surfaceless blocks (sanitized: S06 but you need to get onto the surfaceless blocks), totd: False, discovery: {}
2024-12-18T02:04:08+0100 WARNING: Unmatched map name: Wet Plastic Spring 2024 - 01 (Stadium) (sanitized: Wet Plastic Spring 2024 - 01 (Stadium)), totd: False, discovery: {}
2024-12-18T02:04:08+0100 WARNING: Unmatched map name: IceFall 2020 - 01 (sanitized: IceFall 2020 - 01), totd: False, discovery: {}
2024-12-18T02:04:08+0100 WARNING: Unmatched map name: Wet Plastic Winter 2024 - 08 (B side) (sanitized: Wet Plastic Winter 2024 - 08 (B side)), totd: False, discovery: {}
2024-12-18T02:04:08+0100 WARNING: Unmatched map name: Suburbia (CPLess-STTF) (sanitized: Suburbia (CPLess-STTF)), totd: False, discovery: {}
2024-12-18T02:04:08+0100 WARNING: Unmatched map name: IceFall 2020 - 02 (sanitized: IceFall 2020 - 02), totd: False, discovery: {}
2024-12-18T02:04:08+0100 WARNING: Unmatched map name: Winter 2024 - Last Section Joined (sanitized: Winter 2024 - Last Section Joined), totd: False, discovery: {}
2024-12-18T02:04:08+0100 WARNING: Unmatched map name: Training - 16 Walmart Mini 'AT  by BlueJinx (sanitized: Training - 16 Walmart Mini 'AT by BlueJinx), totd: False, discovery: {}
2024-12-18T02:04:08+0100 WARNING: Unmatched map name: IceFall 2020 - 08 (sanitized: IceFall 2020 - 08), totd: False, discovery: {}
2024-12-18T02:04:08+0100 WARNING: Unmatched map name: IceFall 2020 - 13 (sanitized: IceFall 2020 - 13), totd: False, discovery: {}
2024-12-18T02:04:08+0100 WARNING: Unmatched map name: Symmetrical Fall 2022 - 21 (Validated) (sanitized: Symmetrical Fall 2022 - 21 (Validated)), totd: False, discovery: {}
2024-12-18T02:04:08+0100 WARNING: Unmatched map name: Mighty Desert (Cawswitch DesertCar) (sanitized: Mighty Desert (Cawswitch DesertCar)), totd: False, discovery: {}
2024-12-18T02:04:08+0100 WARNING: Unmatched map name: Wet Plastic Fall 2023 - 04(Feat (sanitized: Wet Plastic Fall 2023 - 04(Feat), totd: False, discovery: {}
2024-12-18T02:04:09+0100 WARNING: Unmatched map name: $o$88FArctic Nightrush (Wood) (sanitized: Arctic Nightrush (Wood)), totd: False, discovery: {}
2024-12-18T02:04:09+0100 WARNING: Unmatched map name: KnifeEdge [EASY MODE] (sanitized: KnifeEdge [EASY MODE]), totd: False, discovery: {}
2024-12-18T02:04:09+0100 WARNING: Unmatched map name: Supersized_Spring_2024_-_05 (sanitized: Supersized_Spring_2024_-_05), totd: False, discovery: {}
2024-12-18T02:04:09+0100 WARNING: Unmatched map name: WetDesert Wood Waterless (sanitized: WetDesert Wood Waterless), totd: False, discovery: {}
2024-12-18T02:04:09+0100 WARNING: Unmatched map name: WoodyDesert Plastic (sanitized: WoodyDesert Plastic), totd: False, discovery: {}
2024-12-18T02:04:09+0100 WARNING: Unmatched map name: $oDesert Fest (STTF-CPLess) (sanitized: Desert Fest (STTF-CPLess)), totd: False, discovery: {}
2024-12-18T02:04:09+0100 WARNING: Unmatched map name: Wet Plastic Fall 2023 - 09(Feat (sanitized: Wet Plastic Fall 2023 - 09(Feat), totd: False, discovery: {}
2024-12-18T02:04:09+0100 WARNING: Unmatched map name: GreenCity (SnowCar) (sanitized: GreenCity (SnowCar)), totd: False, discovery: {}
2024-12-18T02:04:09+0100 WARNING: Unmatched map name: IceFall 2020 - 14 (sanitized: IceFall 2020 - 14), totd: False, discovery: {}
2024-12-18T02:04:10+0100 INFO: Parsed data written to parsed_map_data.json
